id,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
126040,US,"Pinot Noir specialist Bryan Babcock explores this aromatic white grape, delivering a lush and creamy expression. Poached pear and orange blossom notes combine with a nutty quality on the nose, while the wine's creamy consistency meets buoyant acidity on the palate. Lush apple, pear and cashews flavors complete the picture.",Simpatico,92,40,California,Sta. Rita Hills,Central Coast,Matt Kettmann,@mattkettmann,Babcock 2015 Simpatico Sauvignon Blanc (Sta. Rita Hills),Sauvignon Blanc,Babcock
35859,France,"91-93 A very complete wine, packed with just the right level of tannins and with the sweet plum fruit pushing through to give richness to the acidity.",Barrel sample,92,,Bordeaux,Margaux,,Roger Voss,@vossroger,Ch??teau d'Angludet 2010 Barrel sample (Margaux),Bordeaux-style Red Blend,Ch??teau d'Angludet
50183,France,"There is a barnyard feel to this wine, from its rustic aromas through the edgy berry fruit to the final flavors of acidity and beetroot. The character gives licorice and spice as well as blackberry fruits.",Cuv??e BLF,84,11,Southwest France,Fronton,,Roger Voss,@vossroger,Ch??teau Bellevue la For??t 2007 Cuv??e BLF Red (Fronton),Red Blend,Ch??teau Bellevue la For??t
73907,Australia,"After recently tasting a knockout bottle of the 2005, this was disappointing. Ample cinnamon and mocha notes accent slightly pruny flavors; the tannins are soft, while the acids provide a lemony edge to the finish.",The Pict,88,135,South Australia,Barossa Valley,,Joe Czerwinski,@JoeCz,Torbreck 2007 The Pict Mataro (Barossa Valley),Mataro,Torbreck
102345,France,"This isn't the biggest or ripest C??tes du Rh??ne, but it balances hints of greenness with fresh cherry fruit. The floral notes on the nose are attractive, while the wine finishes firm and crisp.",,88,13,Rh??ne Valley,C??tes du Rh??ne,,Joe Czerwinski,@JoeCz,Louis Bernard 2014 Red (C??tes du Rh??ne),Rh??ne-style Red Blend,Louis Bernard
71903,Argentina,"Roasted fruit, road tar and barrel notes play a big role on the nose, which is otherwise regular and not particularly individual. The palate offers red-fruit jam, butter and pepper flavors, while the finish has some bite and definitive snap. Plenty good enough to drink but lacking completeness and texture.",Perpetuum,85,16,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Gimenez Riili 2006 Perpetuum Malbec (Mendoza),Malbec,Gimenez Riili
96274,Italy,"Violet, dark-skinned berry and balsamic notes come together in this ripe, round wine. The palate delivers black cherry, tobacco and thyme flavors, bolstered by assertive tannins. Enjoy 2018???2023.",,89,,Tuscany,Brunello di Montalcino,,Kerin O???Keefe,@kerinokeefe,Villa Le Prata 2012 Brunello di Montalcino,Sangiovese,Villa Le Prata
35921,US,"Sourced from two vineyards, including Sangiacomo Amaral Ranch, a cool site near the bay, this is a tremendous offering for the price. The wine is light, bright and brambly in raspberry and cherry kirsch, with a mischievous streak of cola. Pretty and fresh, it finishes in a tease of black tea.",,91,24,California,Sonoma Coast,Sonoma,Virginie Boone,@vboone,Bench 2013 Pinot Noir (Sonoma Coast),Pinot Noir,Bench
126543,US,"This wine is a blend of Cabernet Sauvignon (60%) and Merlot. Cocoa, baking chocolate and dark-fruit aromas lead to ripe generous black-fruit flavors, backed by well-integrated tannins. The finish lingers.",Longevity,91,45,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,JM Cellars 2013 Longevity Red (Columbia Valley (WA)),Bordeaux-style Red Blend,JM Cellars
39226,Italy,"Alluring aromas of menthol, red berry, rose and herb lift out of the glass. The rounded solid palate offers raspberry, morello cherry, a touch of clove and a hint of cinnamon framed in firm tannins. It's straightforward by Barolo standards but it's appealing and already almost accessible. Drink after 2021.",Riserva,89,30,Piedmont,Barolo,,Kerin O???Keefe,@kerinokeefe,Cantina Terre del Barolo 2011 Riserva (Barolo),Nebbiolo,Cantina Terre del Barolo
15996,France,"Still very firm, this wine shows the tannic structure of the vintage. Because it's beginning to mature, it also shows it's not likely to open up much more. Big and hard to like.",,86,30,Bordeaux,Saint-?_milion,,Roger Voss,@vossroger,Ch??teau Tour Grand Faurie 2011 Saint-?_milion,Bordeaux-style Red Blend,Ch??teau Tour Grand Faurie
95728,Portugal,"This is a herbal, earthy wine with as many tannins as fruit at this stage. That gives it a dense, dusty texture that seeps into the ripe, sweet plum flavors. With the wood giving an extra push of richness as well as spice, it needs to age. Drink from 2017.",D. Fuas Reserva,89,7,Terras do D??o,,,Roger Voss,@vossroger,Caves Velhas 2013 D. Fuas Reserva Red (Terras do D??o),Portuguese Red,Caves Velhas
11598,US,"With an orange-pink color, this is really a ros?? wine. It's sweet and sugary, with raspberry and watermelon flavors that are balanced by cleansing acids.",Willow Springs White,83,6,California,California,California Other,,,CK Mondavi 2012 Willow Springs White Zinfandel (California),Zinfandel,CK Mondavi
129701,US,"Coming from the warm 2012 vintage, the notes vary from stone fruit, such as apricot, into tropical with dried pineapple. Aged in a mixture of stainless steel and older French oak barrels, it's fresh and appealing while also displaying some weight and density, drinking quite dry with a tart finish.",Horse Heaven Vineyard,87,18,Washington,Horse Heaven Hills,Columbia Valley,Sean P. Sullivan,@wawinereport,Chateau Ste. Michelle 2012 Horse Heaven Vineyard Sauvignon Blanc (Horse Heaven Hills),Sauvignon Blanc,Chateau Ste. Michelle
43420,France,"Scented impressions of ripe pear and aloe vera pervade this wine. The palate shows texture and more fruit than you might expect from slender Sylvaner. The finish is brisk, clean and taut.",Vieilles Vignes,89,13,Alsace,Alsace,,Anne Krebiehl?MW,@AnneInVino,Boeckel 2015 Vieilles Vignes Sylvaner (Alsace),Sylvaner,Boeckel
40444,Italy,"No doubt, this is a simple and sharp wine from northern Italy but it would make a perfect pairing partner to easy grilled lamb or pork chops. It offers clean aromas of wild berry and almond and the mouthfeel is thin and compact.",,85,,Veneto,Valpolicella Classico Superiore Ripasso,,,,Giuseppe Lonardi 2007 Valpolicella Classico Superiore Ripasso,"Corvina, Rondinella, Molinara",Giuseppe Lonardi
110345,France,"The top wine from this estate is a blend of Syrah and Braucol. It is still firm and tannic, rich with perfumed black fruits. Made from the property's oldest vines and wood aged, it has hints of licorice as well as a toasty edge. The wine needs to be aged, so drink from 2020.",M??moire,90,30,Southwest France,Gaillac,,Roger Voss,@vossroger,Ch??teau Cl??ment Termes 2014 M??moire Red (Gaillac),Red Blend,Ch??teau Cl??ment Termes
65831,France,"Sourced from grapes grown in the C??te Chalonnaise, this is a soft, red-fruit-flavored wine, with a ripe, jammy character that makes it almost sweet. It is ready to drink.",Vieilles Vignes,86,25,Burgundy,Bourgogne,,Roger Voss,@vossroger,Ch??teau de Santenay 2014 Vieilles Vignes (Bourgogne),Pinot Noir,Ch??teau de Santenay
110752,Macedonia,"Lavender and ripe black-cherry aromas are enticing on this Pinot Noir. Dry and full bodied, it doesn't have a lot of concentration, but it's softly fruity, with hints of soil and autumn leaf.",,84,15,Tikves,,,Anna Lee C. Iijima,,Macedon 2010 Pinot Noir (Tikves),Pinot Noir,Macedon
73787,Macedonia,"This garnet-colored Pinot Noir is named after Alexander the Great???The Macedon. It has aromas of cherry and vanilla and bright top notes of fresh red raspberry. Medium bodied, it delivers fresh flavors of cranberry and cherry in the finish.",Macedon,87,15,Tikves,,,Jeff Jenssen,@worldwineguys,Stobi 2011 Macedon Pinot Noir (Tikves),Pinot Noir,Stobi
38503,Macedonia,"This 100% Vranec presents the nose with black plum, blackberry, tobacco leaf and saddle leather and the palate with blueberry, dried herbs, tobacco and red plums. The finish is soft and elegant.",Veritas,89,20,Tikves,,,Jeff Jenssen,@worldwineguys,Stobi 2011 Veritas Vranec (Tikves),Vranec,Stobi
58531,Macedonia,"This Chardonnay has an appealing nose that's both fruity and toasty, with complex, lush flavors of Chardonnay fruit, vanilla and toasted wood. A spirited but elegant wine that will pair well with poultry, cheeses or richer fish.",,87,15,Tikves,,,Susan Kostrzewa,@suskostrzewa,Bovin 2008 Chardonnay (Tikves),Chardonnay,Bovin
51421,Macedonia,"This Macedonian wine made from 100% ?_ilavka has aromas of honeysuckle and peach. Balanced in the mouth, it has flavors of green papaya and tart pineapple.",,88,15,Tikves,,,Jeff Jenssen,@worldwineguys,Stobi 2014 ?_ilavka (Tikves),?_ilavka,Stobi
